Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Accuracy,BI,AUC
ROCKET,2500,max + ppv,poly,100,0.447,0.345,0.835
ROCKET,2500,ppv,poly,100,0.669,0.602,0.9079999999999999
ROCKET,2500,max,poly,1000,0.447,0.345,0.835
ROCKET,2500,max + ppv,poly,1000,0.447,0.345,0.8370000000000001
ROCKET,2500,ppv,poly,1000,0.669,0.602,0.9079999999999999
ROCKET,2500,max,poly,10000,0.447,0.345,0.835
ROCKET,2500,max + ppv,poly,10000,0.447,0.345,0.8340000000000001
ROCKET,2500,ppv,poly,10000,0.669,0.602,0.907
ROCKET,2500,max,rbf,100,0.506,0.41,0.867
ROCKET,2500,max + ppv,rbf,100,0.506,0.41,0.866
ROCKET,2500,ppv,rbf,100,0.6709999999999999,0.604,0.907
ROCKET,2500,max,rbf,1000,0.506,0.41,0.867
ROCKET,2500,max + ppv,rbf,1000,0.506,0.41,0.866
ROCKET,2500,ppv,rbf,1000,0.6709999999999999,0.604,0.9079999999999999
ROCKET,2500,max,rbf,10000,0.506,0.41,0.867
ROCKET,2500,max + ppv,rbf,10000,0.506,0.41,0.866
ROCKET,2500,ppv,rbf,10000,0.6709999999999999,0.604,0.907
ROCKET,2500,max,sigmoid,100,0.19399999999999998,0.055,0.539
ROCKET,2500,max + ppv,sigmoid,100,0.19399999999999998,0.055,0.5379999999999999
ROCKET,2500,ppv,sigmoid,100,0.154,0.0,0.34600000000000003
ROCKET,2500,max,sigmoid,1000,0.161,0.025,0.5579999999999999
ROCKET,2500,max + ppv,sigmoid,1000,0.161,0.025,0.561
ROCKET,2500,ppv,sigmoid,1000,0.154,0.0,0.326
ROCKET,2500,max,sigmoid,10000,0.158,0.022000000000000002,0.5529999999999999
ROCKET,2500,max + ppv,sigmoid,10000,0.158,0.022000000000000002,0.555
ROCKET,2500,ppv,sigmoid,10000,0.154,0.0,0.311
ROCKET,5000,max,linear,100,0.499,0.402,0.867
ROCKET,5000,max + ppv,linear,100,0.499,0.402,0.867
ROCKET,5000,ppv,linear,100,0.6859999999999999,0.621,0.9109999999999999
ROCKET,5000,max,linear,1000,0.499,0.402,0.867
ROCKET,5000,max + ppv,linear,1000,0.499,0.402,0.867
ROCKET,5000,ppv,linear,1000,0.6859999999999999,0.621,0.9109999999999999
ROCKET,5000,max,linear,10000,0.499,0.402,0.866
ROCKET,5000,max + ppv,linear,10000,0.499,0.402,0.867
ROCKET,5000,ppv,linear,10000,0.6859999999999999,0.621,0.91
ROCKET,5000,max,poly,100,0.445,0.34299999999999997,0.8370000000000001
ROCKET,5000,max + ppv,poly,100,0.445,0.34299999999999997,0.838
ROCKET,5000,ppv,poly,100,0.685,0.621,0.9109999999999999
ROCKET,5000,max,poly,1000,0.445,0.34299999999999997,0.8370000000000001
ROCKET,5000,max + ppv,poly,1000,0.445,0.34299999999999997,0.8370000000000001
ROCKET,5000,ppv,poly,1000,0.685,0.621,0.9109999999999999
ROCKET,5000,max,poly,10000,0.445,0.34299999999999997,0.8370000000000001
ROCKET,5000,max + ppv,poly,10000,0.445,0.34299999999999997,0.838
ROCKET,5000,ppv,poly,10000,0.685,0.621,0.912
ROCKET,5000,max,rbf,100,0.511,0.41600000000000004,0.8690000000000001
ROCKET,5000,max + ppv,rbf,100,0.511,0.41600000000000004,0.8690000000000001
ROCKET,5000,ppv,rbf,100,0.69,0.626,0.9109999999999999
